Name,Latitude,Longitude
"Bayonne, NJ",40.66871,-74.11431
"Bergenfield, NJ",40.9276,-73.99736
"Cliffside Park, NJ",40.82149,-73.98764
"Englewood, NJ",40.89288,-73.97264
"Fair Lawn, NJ",40.94038,-74.13181
"Fort Lee, NJ",40.85093,-73.97014
"Hackensack, NJ",40.88593,-74.04347
"Hoboken, NJ",40.74399,-74.03236
"Jersey City, NJ",40.72816,-74.07764
"Kearny, NJ",40.76843,-74.14542
"North Bergen, NJ",40.80427,-74.01208
"Paramus, NJ",40.94454,-74.07542
"Ridgewood, NJ",40.97926,-74.11653
"Teaneck, NJ",40.8976,-74.01597
"Union City, NJ",40.77955,-74.02375
"West New York, NJ",40.78788,-74.01431
"Washington, DC",38.89511,-77.03637
"Bridgeport, CT",41.16704,-73.20483
"Danbury, CT",41.39482,-73.45401
"East Haven, CT",41.27621,-72.86843
"Meriden, CT",41.53815,-72.80704
"Milford, CT",41.22232,-73.0565
"Naugatuck, CT",41.48593,-73.05066
"New Haven, CT",41.30815,-72.92816
"North Haven, CT",41.39093,-72.85954
"Norwalk, CT",41.1176,-73.4079
"Shelton, CT",41.31649,-73.09316
"Stamford, CT",41.05343,-73.53873
"Stratford, CT",41.18454,-73.13317
"Trumbull, CT",41.24287,-73.20067
"Waterbury, CT",41.55815,-73.0515
"West Haven, CT",41.27065,-72.94705
"Westport, CT",41.14149,-73.3579
"Alabaster, AL",33.24428,-86.81638
"Bessemer, AL",33.40178,-86.95444
"Birmingham, AL",33.52066,-86.80249
"Center Point, AL",33.64566,-86.6836
"Homewood, AL",33.47177,-86.80082
"Hoover, AL",33.40539,-86.81138
"Mountain Brook, AL",33.50094,-86.75221
"Tuscaloosa, AL",33.20984,-87.56917
"Vestavia Hills, AL",33.44872,-86.78777
"Bainbridge Island, WA",47.62621,-122.52124
"Burien, WA",47.47038,-122.34679
"Des Moines, WA",47.40177,-122.32429
"Mercer Island, WA",47.57065,-122.22207
"Seattle, WA",47.60621,-122.33207
"Shoreline, WA",47.75565,-122.34152
"White Center, WA",47.51732,-122.35485
"Auburn, ME",44.09785,-70.23117
"Augusta, ME",44.31062,-69.77949
"Bangor, ME",44.80118,-68.77781
"Biddeford, ME",43.49258,-70.45338
"Brunswick, ME",43.91452,-69.96533
"Lewiston, ME",44.10035,-70.21478
"South Portland, ME",43.64147,-70.24088
"South Portland, ME",43.64147,-70.24088
"Boise, ID",43.6135,-116.20345
"Caldwell, ID",43.66294,-116.68736
"Coeur d'Alene, ID",47.67768,-116.78047
"Idaho Falls, ID",43.46658,-112.03414
"Lewiston, ID",46.41655,-117.01766
"Meridian, ID",43.61211,-116.39151
"Moscow, ID",46.73239,-117.00017
"Nampa, ID",43.54072,-116.56346
"Pocatello, ID",42.8713,-112.44553
"Twin Falls, ID",42.56297,-114.46087
"Atwater, CA",37.34772,-120.60908
"Ceres, CA",37.59493,-120.95771
"Lodi, CA",38.1302,-121.27245
"Los Banos, CA",37.05828,-120.84992
"Manteca, CA",37.79743,-121.21605
"Merced, CA",37.30216,-120.48297
"West Modesto, CA",37.61754,-121.03914
"Stockton, CA",37.9577,-121.29078
"Tracy, CA",37.73987,-121.42618
"Turlock, CA",37.49466,-120.84659
"San Antonio, TX",29.42412,-98.49363
"New York City, NY",40.71427,-74.00597
"New York City, NY",40.71427,-74.00597
"Los Angeles, CA",34.05223,-118.24368
"Allen, TX",33.10317,-96.67055
"Arlington, TX",32.73569,-97.10807
"Carrollton, TX",32.95373,-96.89028
"Cedar Hill, TX",32.58847,-96.95612
"Coppell, TX",32.95457,-97.01501
"Dallas, TX",32.78306,-96.80667
"DeSoto, TX",32.58986,-96.85695
"Duncanville, TX",32.6518,-96.90834
"Farmers Branch, TX",32.92651,-96.89612
"Flower Mound, TX",33.01457,-97.09696
"Frisco, TX",33.15067,-96.82361
"Garland, TX",32.91262,-96.63888
"Grand Prairie, TX",32.74596,-96.99778
"Irving, TX",32.81402,-96.94889
"Lancaster, TX",32.59208,-96.75611
"Lewisville, TX",33.04623,-96.99417
"McKinney, TX",33.19762,-96.61527
"Mesquite, TX",32.7668,-96.59916
"Plano, TX",33.01984,-96.69889
"Richardson, TX",32.94818,-96.72972
"Rowlett, TX",32.9029,-96.56388
"The Colony, TX",33.08901,-96.88639
"University Park, TX",32.85013,-96.80028
"Waxahachie, TX",32.38653,-96.84833
"Levittown, PA",40.15511,-74.82877
"Philadelphia, PA",39.95233,-75.16379
"Brook Park, OH",41.39838,-81.80458
"East Cleveland, OH",41.53311,-81.57901
"Cleveland Heights, OH",41.52005,-81.55624
"East Cleveland, OH",41.53311,-81.57901
"South Euclid, OH",41.52311,-81.51846
"Garfield Heights, OH",41.417,-81.60596
"Lakewood, OH",41.48199,-81.79819
"Maple Heights, OH",41.41533,-81.56596
"Parma, OH",41.40477,-81.72291
"Shaker Heights, OH",41.47394,-81.53707
"South Euclid, OH",41.52311,-81.51846
"Champaign, IL",40.11642,-88.24338
"Charleston, IL",39.49615,-88.17615
"Danville, IL",40.12448,-87.63002
"Decatur, IL",39.84031,-88.9548
"Quincy, IL",39.9356,-91.40987
"Springfield, IL",39.80172,-89.64371
"Urbana, IL",40.11059,-88.20727
"Andover, MN",45.2333,-93.29134
"Duluth, MN",46.78327,-92.10658
"Moorhead, MN",46.87386,-96.76951
"East Chicago, IN",41.6392,-87.45476
"Gary, IN",41.59337,-87.34643
"Hammond, IN",41.58337,-87.50004
"Highland, IN",41.55365,-87.45198
"Hobart, IN",41.53226,-87.25504
"LaPorte, IN",41.6106,-86.72252
"Merrillville, IN",41.48281,-87.33281
"Michigan City, IN",41.70754,-86.89503
"Munster, IN",41.56448,-87.51254
"Portage, IN",41.57587,-87.17615
"Schererville, IN",41.47892,-87.45476
"Valparaiso, IN",41.47309,-87.06114
"Athens, OH",39.32924,-82.10126
"Chillicothe, OH",39.33312,-82.9824
"Delaware, OH",40.29867,-83.06797
"Lancaster, OH",39.71368,-82.59933
"Marion, OH",40.58867,-83.12852
"Newark, OH",40.05812,-82.40126
"Portsmouth, OH",38.73174,-82.99767
"Zanesville, OH",39.94035,-82.01319
"Algonquin, IL",42.16558,-88.29425
"Arlington Heights, IL",42.08836,-87.98063
"Buffalo Grove, IL",42.15141,-87.95979
"Carpentersville, IL",42.12114,-88.25786
"Des Plaines, IL",42.03336,-87.8834
"South Elgin, IL",41.99419,-88.2923
"Elk Grove Village, IL",42.00392,-87.97035
"Evanston, IL",42.04114,-87.69006
"Glenview, IL",42.06975,-87.78784
"Gurnee, IL",42.3703,-87.90202
"Highland Park, IL",42.18169,-87.80034
"Hoffman Estates, IL",42.04281,-88.0798
"Lake Forest, IL",42.25863,-87.84063
"Lake in the Hills, IL",42.18169,-88.33036
"Libertyville, IL",42.28308,-87.95313
"Morton Grove, IL",42.04059,-87.78256
"Mount Prospect, IL",42.06642,-87.93729
"Mundelein, IL",42.26308,-88.00397
"Niles, IL",42.01892,-87.80284
"North Chicago, IL",42.32558,-87.84118
"Northbrook, IL",42.12753,-87.82895
"Palatine, IL",42.1103,-88.03424
"Park Ridge, IL",42.01114,-87.84062
"Rolling Meadows, IL",42.08419,-88.01313
"Round Lake Beach, IL",42.37169,-88.09008
"Schaumburg, IL",42.03336,-88.08341
"Skokie, IL",42.03336,-87.73339
"Vernon Hills, IL",42.21947,-87.97952
"Waukegan, IL",42.36363,-87.84479
"Wheeling, IL",42.13919,-87.92896
"Wilmette, IL",42.07225,-87.72284
"Zion, IL",42.44613,-87.83285
"Baton Rouge, LA",30.45075,-91.15455
"Biloxi, MS",30.39603,-88.88531
"West Gulfport, MS",30.40409,-89.0942
"Pascagoula, MS",30.36576,-88.55613
"Albany, GA",31.57851,-84.15574
"Valdosta, GA",30.83334,-83.28032
"Muskegon, MI",43.23418,-86.24839
"Norton Shores, MI",43.1689,-86.26395
"Shelby, MI",42.67087,-83.03298
"Akron, OH",41.08144,-81.51901
"Alliance, OH",40.91534,-81.10593
"Austintown, OH",41.10172,-80.76452
"Barberton, OH",41.01283,-81.60512
"Boardman, OH",41.02423,-80.66285
"Brunswick, OH",41.23811,-81.8418
"North Canton, OH",40.87589,-81.40234
"Cuyahoga Falls, OH",41.13394,-81.48456
"Green, OH",40.94589,-81.48317
"Hudson, OH",41.24006,-81.44067
"Kent, OH",41.15367,-81.35789
"Massillon, OH",40.79672,-81.52151
"Medina, OH",41.13839,-81.86375
"Niles, OH",41.18284,-80.76536
"Stow, OH",41.1595,-81.44039
"Warren, OH",41.23756,-80.81842
"Wooster, OH",40.80517,-81.93646
"Youngstown, OH",41.09978,-80.64952
"Bonita Springs, FL",26.33981,-81.7787
"Cape Coral, FL",26.56285,-81.94953
"North Fort Myers, FL",26.66729,-81.88009
"Golden Gate, FL",26.18787,-81.69509
"Lehigh Acres, FL",26.62535,-81.6248
"Naples, FL",26.14234,-81.79596
"North Fort Myers, FL",26.66729,-81.88009
"Aspen Hill, MD",39.07955,-77.07303
"North Bethesda, MD",39.04455,-77.11887
"Bowie, MD",38.94278,-76.73028
"Chillum, MD",38.96372,-76.99081
"Clinton, MD",38.76511,-76.89831
"College Park, MD",38.98067,-76.93692
"Cumberland, MD",39.65287,-78.76252
"Fairland, MD",39.07622,-76.95775
"Fort Washington, MD",38.70734,-77.02303
"Frederick, MD",39.41427,-77.41054
"Gaithersburg, MD",39.14344,-77.20137
"Germantown, MD",39.17316,-77.27165
"Greenbelt, MD",39.00455,-76.87553
"Hagerstown, MD",39.64176,-77.71999
"Landover, MD",38.934,-76.89664
"Montgomery Village, MD",39.17677,-77.19526
"North Bethesda, MD",39.04455,-77.11887
"South Laurel, MD",39.06983,-76.85025
"North Potomac, MD",39.08289,-77.26498
"Olney, MD",39.15316,-77.06692
"Potomac, MD",39.01817,-77.20859
"Rockville, MD",39.084,-77.15276
"Silver Spring, MD",38.99067,-77.02609
"South Laurel, MD",39.06983,-76.85025
"Saint Charles, MD",38.60317,-76.93858
"Suitland, MD",38.84872,-76.92386
"Waldorf, MD",38.62456,-76.93914
"White Oak, MD",39.03983,-76.99303
"West Bloomfield Township, MI",42.56891,-83.38356
"Farmington Hills, MI",42.48531,-83.37716
"Ferndale, MI",42.46059,-83.13465
"Madison Heights, MI",42.48587,-83.1052
"Novi, MI",42.48059,-83.47549
"Oak Park, MI",42.45948,-83.18271
"Pontiac, MI",42.63892,-83.29105
"Rochester Hills, MI",42.65837,-83.14993
"Royal Oak, MI",42.48948,-83.14465
"Southfield, MI",42.47337,-83.22187
"Troy, MI",42.60559,-83.14993
"Waterford, MI",42.69303,-83.41181
"West Bloomfield Township, MI",42.56891,-83.38356
"Mobile, AL",30.69436,-88.04305
"Prichard, AL",30.7388,-88.07889
"Greenville, NC",35.61266,-77.36635
"Havelock, NC",34.87905,-76.90133
"Kinston, NC",35.26266,-77.58164
"New Bern, NC",35.10849,-77.04411
"Rocky Mount, NC",35.93821,-77.79053
"Wilson, NC",35.72127,-77.91554
"Auburn, WA",47.30732,-122.22845
"East Hill-Meridian, WA",47.41052,-122.17369
"Federal Way, WA",47.32232,-122.31262
"Lakewood, WA",47.17176,-122.51846
"Parkland, WA",47.15538,-122.43401
"Puyallup, WA",47.18538,-122.2929
"South Hill, WA",47.14121,-122.27012
"Spanaway, WA",47.10399,-122.43457
"Tacoma, WA",47.25288,-122.44429
"University Place, WA",47.23565,-122.5504
"Copperas Cove, TX",31.12406,-97.90308
"Fort Hood, TX",31.13489,-97.77561
"Killeen, TX",31.11712,-97.7278
"Temple, TX",31.09823,-97.34278
"Waco, TX",31.54933,-97.14667
"Anniston, AL",33.65983,-85.83163
"Decatur, AL",34.60593,-86.98334
"Florence, AL",34.79981,-87.67725
"Gadsden, AL",34.01426,-86.00664
"Huntsville, AL",34.73037,-86.5861
"Madison, AL",34.69926,-86.74833
"Fort Wayne, IN",41.1306,-85.12886
"Brookfield, WI",43.06057,-88.10648
"Caledonia, WI",42.8078,-87.92425
"Kenosha, WI",42.58474,-87.82119
"Menomonee Falls, WI",43.1789,-88.11731
"Mequon, WI",43.2364,-87.98453
"Muskego, WI",42.90585,-88.13898
"New Berlin, WI",42.9764,-88.10842
"Racine, WI",42.72613,-87.78285
"Waukesha, WI",43.01168,-88.23148
"West Bend, WI",43.42528,-88.18343
"Levittown, PA",40.15511,-74.82877
"Philadelphia, PA",39.95233,-75.16379
"Battle Creek, MI",42.3173,-85.17816
"Kalamazoo, MI",42.29171,-85.58723
"Portage, MI",42.20115,-85.58
"Bowling Green, KY",36.99032,-86.4436
"Elizabethtown, KY",37.69395,-85.85913
"Henderson, KY",37.83615,-87.59001
"Hopkinsville, KY",36.86561,-87.49117
"Owensboro, KY",37.77422,-87.11333
"Paducah, KY",37.08339,-88.60005
"Radcliff, KY",37.84035,-85.94913
"Back Mountain, PA",41.33591,-75.99631
"Hazleton, PA",40.95842,-75.97465
"Scranton, PA",41.40916,-75.6649
"Wilkes-Barre, PA",41.24591,-75.88131
"Williamsport, PA",41.24119,-77.00108
"Richmond, VA",37.55376,-77.46026
"Alvin, TX",29.42385,-95.2441
"Atascocita, TX",29.99883,-95.1766
"Baytown, TX",29.7355,-94.97743
"Channelview, TX",29.77606,-95.11465
"Cloverleaf, TX",29.77828,-95.17188
"Deer Park, TX",29.70523,-95.12382
"Friendswood, TX",29.5294,-95.20104
"South Houston, TX",29.66301,-95.23549
"La Porte, TX",29.66578,-95.01937
"League City, TX",29.50745,-95.09493
"Mission Bend, TX",29.69384,-95.66495
"Missouri City, TX",29.61857,-95.53772
"Pasadena, TX",29.69106,-95.2091
"Pearland, TX",29.56357,-95.28605
"Rosenberg, TX",29.55718,-95.80856
"Spring, TX",30.07994,-95.41716
"Sugar Land, TX",29.61968,-95.63495
"The Woodlands, TX",30.15799,-95.48938
"Aspen Hill, MD",39.07955,-77.07303
"North Bethesda, MD",39.04455,-77.11887
"Bowie, MD",38.94278,-76.73028
"Chillum, MD",38.96372,-76.99081
"Clinton, MD",38.76511,-76.89831
"College Park, MD",38.98067,-76.93692
"Cumberland, MD",39.65287,-78.76252
"Fairland, MD",39.07622,-76.95775
"Fort Washington, MD",38.70734,-77.02303
"Frederick, MD",39.41427,-77.41054
"Gaithersburg, MD",39.14344,-77.20137
"Germantown, MD",39.17316,-77.27165
"Greenbelt, MD",39.00455,-76.87553
"Hagerstown, MD",39.64176,-77.71999
"Landover, MD",38.934,-76.89664
"Montgomery Village, MD",39.17677,-77.19526
"North Bethesda, MD",39.04455,-77.11887
"South Laurel, MD",39.06983,-76.85025
"North Potomac, MD",39.08289,-77.26498
"Olney, MD",39.15316,-77.06692
"Potomac, MD",39.01817,-77.20859
"Rockville, MD",39.084,-77.15276
"Silver Spring, MD",38.99067,-77.02609
"South Laurel, MD",39.06983,-76.85025
"Saint Charles, MD",38.60317,-76.93858
"Suitland, MD",38.84872,-76.92386
"Waldorf, MD",38.62456,-76.93914
