Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,811,Directly funded,Y,9,12,403,236,0.586,299,0.742,381,221,0.58,283,0.743,Y
2016-2017,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2,Yes,1284,Directly funded,Y,K,8,208,110,0.529,134,0.644,199,104,0.523,126,0.633,Y
2016-2017,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,357,28,7.84E-02,33,9.24E-02,357,28,7.84E-02,33,9.24E-02,Y
2016-2017,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,374,87,0.233,102,0.273,364,86,0.236,100,0.275,Y
2016-2017,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,99,99,1,99,1,96,96,1,96,1,Y
2016-2017,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,242,183,0.756,197,0.814,189,141,0.746,151,0.799,Y
2016-2017,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,149,120,0.805,142,0.953,149,120,0.805,142,0.953,Y
2016-2017,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,740,Directly funded,Y,P,5,588,232,0.395,232,0.395,572,227,0.397,227,0.397,Y
2016-2017,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2,Yes,1464,Directly funded,Y,K,8,462,320,0.693,387,0.838,449,310,0.69,377,0.84,Y
2016-2017,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,1,Adult,39,39,1,39,1,34,34,1,34,1,Y
2016-2017,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2,No ,N/A,N/A,N,P,12,380,357,0.939,357,0.939,307,285,0.928,285,0.928,Y
2016-2017,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31,5,0.161,6,0.194,28,5,0.179,6,0.214,Y
2016-2017,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,183,30,0.164,40,0.219,179,29,0.162,38,0.212,Y
2016-2017,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,483,267,0.553,313,0.648,483,267,0.553,313,0.648,Y
2016-2017,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,528,144,0.273,166,0.314,524,142,0.271,164,0.313,Y
2016-2017,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,511,159,0.311,177,0.346,511,159,0.311,177,0.346,Y
2016-2017,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,8,328,73,0.223,91,0.277,328,73,0.223,91,0.277,Y
2016-2017,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1786,282,0.158,338,0.189,1714,267,0.156,321,0.187,Y
2016-2017,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,352,Directly funded,Y,6,12,374,80,0.214,88,0.235,364,79,0.217,87,0.239,Y
2016-2017,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,398,Directly funded,Y,9,12,171,152,0.889,166,0.971,144,128,0.889,140,0.972,Y
2016-2017,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,134,54,0.403,61,0.455,133,53,0.398,60,0.451,Y
2016-2017,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,1343,476,0.354,549,0.409,1302,457,0.351,527,0.405,Y
2016-2017,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,128,55,0.43,55,0.43,97,35,0.361,35,0.361,Y
2016-2017,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,498,108,0.217,128,0.257,480,107,0.223,127,0.265,Y
2016-2017,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,452,44,9.73E-02,51,0.113,452,44,9.73E-02,51,0.113,Y
2016-2017,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,582,64,0.11,85,0.146,582,64,0.11,85,0.146,Y
2016-2017,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,338,43,0.127,53,0.157,338,43,0.127,53,0.157,Y
2016-2017,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,440,189,0.43,232,0.527,416,180,0.433,223,0.536,Y
2016-2017,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,833,87,0.104,116,0.139,833,87,0.104,116,0.139,Y
2016-2017,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,510,199,0.39,232,0.455,510,199,0.39,232,0.455,Y
2016-2017,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,301,117,0.389,139,0.462,288,114,0.396,135,0.469,Y
2016-2017,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,610,46,7.54E-02,54,8.85E-02,600,45,7.50E-02,53,8.83E-02,Y
2016-2017,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,637,50,7.85E-02,59,9.26E-02,637,50,7.85E-02,59,9.26E-02,Y
2016-2017,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0,0,0,2,0,0,0,0,Y
2016-2017,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,7,2,0.286,3,0.429,7,2,0.286,3,0.429,Y
2016-2017,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1164,149,0.128,212,0.182,1138,143,0.126,203,0.178,Y
2016-2017,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,544,46,8.46E-02,61,0.112,544,46,8.46E-02,61,0.112,Y
2016-2017,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,919,94,0.102,141,0.153,919,94,0.102,141,0.153,Y
